0,CLASS,NOUN
1,bird-animal-natural,chicken
2,bird-animal-natural,eagle
3,bird-animal-natural,duck
4,bird-animal-natural,swan
5,bird-animal-natural,owl
6,bird-animal-natural,penguin
7,bird-animal-natural,peacock
8,groundAnimal-animal-natural,dog
9,groundAnimal-animal-natural,elephant
10,groundAnimal-animal-natural,cow
11,groundAnimal-animal-natural,cat
12,groundAnimal-animal-natural,lion
13,groundAnimal-animal-natural,pig
14,groundAnimal-animal-natural,snail
15,groundAnimal-animal-natural,turtle
16,fruitTree-vegetable-natural,cherry
17,fruitTree-vegetable-natural,banana
18,fruitTree-vegetable-natural,pear
19,fruitTree-vegetable-natural,pineapple
20,green-vegetable-natural,mushroom
21,green-vegetable-natural,corn
22,green-vegetable-natural,lettuce
23,green-vegetable-natural,potato
24,green-vegetable-natural,onion
25,tool-artifact-artifact,bottle
26,tool-artifact-artifact,pencil
27,tool-artifact-artifact,pen
28,tool-artifact-artifact,cup
29,tool-artifact-artifact,bowl
30,tool-artifact-artifact,scissors
31,tool-artifact-artifact,kettle
32,tool-artifact-artifact,knife
33,tool-artifact-artifact,screwdriver
34,tool-artifact-artifact,hammer
35,tool-artifact-artifact,spoon
36,tool-artifact-artifact,chisel
37,tool-artifact-artifact,telephone
38,vehicle-artifact-artifact,boat
39,vehicle-artifact-artifact,car
40,vehicle-artifact-artifact,ship
41,vehicle-artifact-artifact,truck
42,vehicle-artifact-artifact,rocket
43,vehicle-artifact-artifact,motorcycle
44,vehicle-artifact-artifact,helicopter
